Period,?깅줉Period,援щ텇,SO_ID,Customer name,Customer PO,Item name,OS name,Expected delivery date,AX Period,AX Project number,Sector,Business registration number,Industry code,Value_Start_qty,Value_Input_qty,Value_Output_qty,Value_Variance_qty,Value_Ending_qty,Value_Start_amount,Value_Input_amount,Value_Output_amount,Value_Variance_amount,Value_Ending_amount
Mar-26,Feb-26,援?궡,SOD-2026-0184,(二??곗뿞?꾩씠,TP-260212-01,NA015 PCU,Noah NA,2026-03-30 0:00,Feb-26,82-15956.001,CPI,606-81-95134,87,1,0,1,0,0,850000,0,850000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0185,二쇱떇?뚯궗 ?꾩씠?붿뵪肄붾━??I&C KOREA Inc.),INCO-260210-123-R1,NOS50-M-FC-I (FAIL CLOSE),NOD/NOS,2026-03-22 0:00,Feb-26,82-15915.001,CPI,238-87-02400,79,4,0,0,0,4,2752000,0,0,0,2752000
Mar-26,Feb-26,援?궡,SOD-2026-0187,?붿씠?먯뒪 二쇱떇?뚯궗,2026-01-120-CH-09,DA-001A NOS185-M (FAIL CLOSE),NOD/NOS,2026-04-04 0:00,Feb-26,82-15951.001,CPI,615-81-88675,89,8,0,0,0,8,8020000,0,0,0,8020000
Mar-26,Feb-26,援?궡,SOD-2026-0187,?붿씠?먯뒪 二쇱떇?뚯궗,2026-01-120-CH-09,DA-001A NOS185-M (FAIL CLOSE),NOD/NOS,2026-06-03 0:00,Feb-26,82-15952.001,CPI,615-81-88675,89,8,0,0,0,8,8020000,0,0,0,8020000
Mar-26,Feb-26,援?궡,SOD-2026-0187,?붿씠?먯뒪 二쇱떇?뚯궗,2026-01-120-CH-09,DA-001A NOS185-M (FAIL CLOSE),NOD/NOS,2026-07-11 0:00,Feb-26,82-15953.001,CPI,615-81-88675,89,8,0,0,0,8,8020000,0,0,0,8020000
Mar-26,Feb-26,援?궡,SOD-2026-0187,?붿씠?먯뒪 二쇱떇?뚯궗,2026-01-120-CH-09,DA-001A NOS185-M (FAIL CLOSE),NOD/NOS,2026-09-19 0:00,Feb-26,82-15954.001,CPI,615-81-88675,89,8,0,0,0,8,8020000,0,0,0,8020000
Mar-26,Feb-26,援?궡,SOD-2026-0188,耳?댁젽?뺣? (二? 諛몃툕怨듭옣,PO2026020900018,NOS100-W-FC-DG,NOD/NOS,2026-05-03 0:00,Feb-26,82-15955.001,CPI,134-85-55479,83,9,0,0,0,9,20914000,0,0,0,20914000
Mar-26,Feb-26,援?궡,SOD-2026-0189,?쒓뎅肄붾줈??(二?,KC2蹂?PO260212-01,INDICATOR (COVER),Electric Spares,2026-03-10 0:00,Feb-26,82-15957.001,CPI,134-81-07436,85,30,0,0,0,30,450000,0,0,0,450000
Mar-26,Feb-26,援?궡,SOD-2026-0189,?쒓뎅肄붾줈??(二?,KC2蹂?PO260212-01,SA005,Noah NA,2026-03-10 0:00,Feb-26,82-15957.001,CPI,134-81-07436,85,3,0,0,0,3,3000000,0,0,0,3000000
Mar-26,Feb-26,援?궡,SOD-2026-0191,??쒗뀒??QK26HS0119-02,MA-01,MA,2026-04-06 0:00,Feb-26,82-15916.001,CPI,417-05-64153,85,1,0,0,0,1,2510000,0,0,0,2510000,
